unified_id,kg_id,hgnc_id,symbol,entrez_id,ensembl_gene_id,uniprot_ids,refseq_accession,symbol_in_kg,biogrid_id
7936,91641,HGNC:4428,GOLGA5,9950,ENSG00000066455,Q8TBA6,NM_005113,GOLGA5,115275
7937,26109,HGNC:18991,ADGRF2,222611,ENSG00000164393,Q8IZF7,NM_153839,ADGRF2,128806
7938,58882,HGNC:29171,IQCE,23288,ENSG00000106012,Q6IPM2,NM_152558,IQCE,116886
7939,26117,HGNC:8060,NUMB,8650,ENSG00000133961,P49757,NM_001005743,NUMB,114202
7940,58885,HGNC:18119,SPATA5,166378,ENSG00000145375,Q8NB90,NM_145207,SPATA5,127927
7941,26130,HGNC:22917,ZCCHC4,29063,ENSG00000168228,Q9H5U6,NM_001318148,ZCCHC4,118838
7942,58898,HGNC:9905,RBM8A,9939,ENSG00000265241,Q9Y5S9,NM_005105,RBM8A,115265
7943,26133,HGNC:4584,GRIN1,2902,ENSG00000176884,Q05586,NM_007327,GRIN1,109159
7944,26135,HGNC:21349,GLYATL3,389396,ENSG00000203972,Q5SZD4,NM_001010904,GLYATL3,133128
7945,91679,HGNC:12833,XRCC5,7520,ENSG00000079246,P13010,NM_021141,XRCC5,113353
7946,26149,HGNC:20728,SLC9A8,23315,ENSG00000197818,Q9Y2E8,NM_001260491,SLC9A8,116906
7947,91686,HGNC:8529,OXTR,5021,ENSG00000180914,P30559,NM_000916,OXTR,111061
7948,26162,HGNC:30022,PPARGC1B,133522,ENSG00000155846,Q86YN6,NM_133263,PPARGC1B,126361
7949,58934,HGNC:23576,HOOK3,84376,ENSG00000168172,Q86VS8,NM_032410,HOOK3,124068
7950,26167,HGNC:1316,EML4,27436,ENSG00000143924,Q9HC35,NM_019063,EML4,118169
7951,58936,HGNC:7220,MPP2,4355,ENSG00000108852,Q14168,NM_005374,MPP2,110495
7952,91707,HGNC:13717,ENPP5,59084,ENSG00000112796,Q9UJA9,NM_001290072,ENPP5,121860
7953,91710,HGNC:26427,ZNF583,147949,ENSG00000198440,Q96ND8,NM_152478,ZNF583,127105
7954,91716,HGNC:4371,GMEB2,26205,ENSG00000101216,Q9UKD1,NM_012384,GMEB2,117605
7955,58950,HGNC:15630,TCERG1,10915,ENSG00000113649,O14776,NM_001040006,TCERG1,116120
7956,58956,HGNC:973,BCAR3,8412,ENSG00000137936,O75815,NM_001261408,BCAR3,114000
7957,26193,HGNC:6116,IRF1,3659,ENSG00000125347,P10914,NM_002198,IRF1,109867
7958,91729,HGNC:5301,HTR6,3362,ENSG00000158748,P50406,NM_000871,HTR6,109594
7959,26194,HGNC:24083,MAMDC4,158056,ENSG00000177943,Q6UXC1,NM_206920,MAMDC4,127643
7960,26201,HGNC:29427,SH3TC2,79628,ENSG00000169247,Q8TF17,NM_024577,SH3TC2,122758
7961,58970,HGNC:26666,EML3,256364,ENSG00000149499,Q32P44,NM_153265,EML3,129161
7962,91737,HGNC:1537,CBFA2T3,863,ENSG00000129993,O75081,NM_005187,CBFA2T3,107311
7963,26203,HGNC:11594,TBX15,6913,ENSG00000092607,Q96SF7,NM_152380,TBX15,112775
7964,91743,HGNC:6816,MAK,4117,ENSG00000111837,P20794,NM_005906,MAK,110291
7965,91745,HGNC:30790,TGM7,116179,ENSG00000159495,Q96PF1,NM_052955,TGM7,125487
7966,26209,HGNC:7459,MT-ND4,4538,ENSG00000198886,P03905,YP_003024035,ND4,110634
7967,91747,HGNC:9655,PTPN3,5774,ENSG00000070159,P26045,NM_001145368,PTPN3,111740
7968,58981,HGNC:349,AHSG,197,ENSG00000145192,P02765,NM_001622,AHSG,106700
7969,26214,HGNC:15568,SH3BGRL3,83442,ENSG00000142669,Q9H299,NM_031286,SH3BGRL3,123644
7970,26215,HGNC:10295,RPGR,6103,ENSG00000156313,Q92834,NM_000328,RPGR,112030
7971,26224,HGNC:16991,CKAP4,10970,ENSG00000136026,Q07065,NM_006825,CKAP4,116167
7972,58996,HGNC:25567,ATAD3A,55210,ENSG00000197785,Q9NVI7,NM_018188,ATAD3A,120506
7973,58997,HGNC:8818,SLC26A4,5172,ENSG00000091137,O43511,NM_000441,SLC26A4,111198
7974,26232,HGNC:6766,MADD,8567,ENSG00000110514,Q8WXG6,NM_001135943,MADD,114136
7975,91772,HGNC:14504,MRPS15,64960,ENSG00000116898,P82914,NM_031280,MRPS15,122358
7976,26237,HGNC:15714,LRPPRC,10128,ENSG00000138095,P42704,NM_133259,LRPPRC,115432
7977,59005,HGNC:4532,HCAR1,27198,ENSG00000196917,Q9BXC0,NM_032554,HCAR1,118073
7978,26240,HGNC:30763,NR2C2AP,126382,ENSG00000184162,Q86WQ0,NM_176880,NR2C2AP,125987
7979,26250,HGNC:21497,ACAD9,28976,ENSG00000177646,Q9H845,NM_014049,ACAD9,118799
7980,91786,HGNC:14905,TAS1R2,80834,ENSG00000179002,Q8TE23,NM_152232,TAS1R2,123327
7981,91788,HGNC:6718,LTBR,4055,ENSG00000111321,P36941,NM_001270987,LTBR,110233
7982,59029,HGNC:28074,COX19,90639,ENSG00000240230,Q49B96,NM_001031617,COX19,124748
7983,91801,HGNC:12640,UVRAG,7405,ENSG00000198382,Q9P2Y5,NM_003369,UVRAG,113248
7984,59036,HGNC:5386,IDH3G,3421,ENSG00000067829,P51553,NM_004135,IDH3G,109647
7985,26269,HGNC:12966,ZNF177,7730,ENSG00000188629,Q13360,NM_003451,ZNF177,113519
7986,26275,HGNC:8979,PIK3R1,5295,ENSG00000145675,P27986,NM_181504,PIK3R1,111313
7987,59046,HGNC:13671,H2AC12,85235,ENSG00000274997,Q96KK5,NM_080596,H2AC12,124438
7988,59047,HGNC:7032,MFAP1,4236,ENSG00000140259,P55081,NM_005926,MFAP1,110394
7989,59052,HGNC:28002,ANKDD1A,348094,ENSG00000166839,Q495B1,NM_182703,ANKDD1A,131506
7990,59055,HGNC:9888,RBBP5,5929,ENSG00000117222,Q15291,NM_005057,RBBP5,111864
7991,91825,HGNC:17346,PRPF4B,8899,ENSG00000112739,Q13523,NM_003913,PRPF4B,114416
7992,26293,HGNC:12306,TRIP12,9320,ENSG00000153827,Q14669,NM_004238,TRIP12,114731
7993,26296,HGNC:19910,NOL6,65083,ENSG00000165271,Q9H6R4,NM_022917,NOL6,122391
7994,91834,HGNC:20944,SENP6,26054,ENSG00000112701,Q9GZR1,NM_015571,SENP6,117517
7995,26304,HGNC:14640,ABCC12,94160,ENSG00000140798,Q96J65,NM_033226,ABCC12,125142
7996,26310,HGNC:6021,IL6ST,3572,ENSG00000134352,P40189,NM_002184,IL6ST,109786
7997,59084,HGNC:26560,ODAD1,93233,ENSG00000105479,Q96M63,NM_144577,CCDC114,125015
7998,26317,HGNC:17194,NDUFA13,51079,ENSG00000186010,Q9P0J0,NM_015965,NDUFA13,119270
7999,26318,HGNC:1802,CDSN,1041,ENSG00000204539,Q15517,NM_001264,CDSN,107472
8000,91862,HGNC:13398,NSDHL,50814,ENSG00000147383,Q15738,NM_015922,NSDHL,119131
8001,26328,HGNC:11389,STK11,6794,ENSG00000118046,Q15831,NM_000455,STK11,112670
8002,91864,HGNC:1241,C1QA,712,ENSG00000173372,P02745,NM_015991,C1QA,107173
8003,91865,HGNC:28413,RBM18,92400,ENSG00000119446,Q96H35,NM_033117,RBM18,124945
8004,59104,HGNC:18273,TRERF1,55809,ENSG00000124496,Q96PN7,NM_033502,TRERF1,120919
8005,26336,HGNC:22192,SCRN1,9805,ENSG00000136193,Q12765,NM_014766,SCRN1,115145
8006,59111,HGNC:17068,PALLD,23022,ENSG00000129116,Q8WX93,NM_016081,PALLD,116662
8007,91880,HGNC:9540,PSMB3,5691,ENSG00000277791,P49720,NM_002795,PSMB3,111664
8008,59116,HGNC:8535,P2RX4,5025,ENSG00000135124,Q99571,NM_175567,P2RX4,111064
8009,26349,HGNC:547,ANXA9,8416,ENSG00000143412,O76027,NM_003568,ANXA9,114002
8010,91887,HGNC:11277,SPTLC1,10558,ENSG00000090054,O15269,NM_006415,SPTLC1,115809
8011,26358,HGNC:14064,HDAC6,10013,ENSG00000094631,Q9UBN7,NM_006044,HDAC6,115330
8012,91896,HGNC:5984,IL17D,53342,ENSG00000172458,Q8TAD2,NM_138284,IL17D,119743
8013,26361,HGNC:30372,KLHL40,131377,ENSG00000157119,Q2TBA0,NM_152393,KLHL40,126278
8014,91897,HGNC:29513,AQR,9716,ENSG00000021776,O60306,NM_014691,AQR,115065
8015,59131,HGNC:18571,XKRY,9082,ENSG00000250868,O14609,NM_004677,XKRY,114538
8016,59136,HGNC:19256,CERK,64781,ENSG00000100422,Q8TCT0,NM_022766,CERK,122291
8017,59138,HGNC:25239,ARSK,153642,ENSG00000164291,Q6UWY0,NM_198150,ARSK,127507
8018,26375,HGNC:19961,ANGEL1,23357,ENSG00000013523,Q9UNK9,NM_015305,ANGEL1,116938
8019,59147,HGNC:13875,FOXP2,93986,ENSG00000128573,O15409,NM_014491,FOXP2,125073
8020,26381,HGNC:2988,DOCK2,1794,ENSG00000134516,Q92608,NM_004946,DOCK2,108129
8021,59151,HGNC:22974,ARL14,80117,ENSG00000179674,Q8N4G2,NM_025047,ARL14,123121
8022,91921,HGNC:25217,CNOT11,55571,ENSG00000158435,Q9UKZ1,NM_017546,CNOT11,120724
8023,26387,HGNC:33237,DUSP28,285193,ENSG00000188542,Q4G0W2,NM_001033575,DUSP28,130042
8024,59160,HGNC:1541,CBL,867,ENSG00000110395,P22681,NM_005188,CBL,107315
8025,91929,HGNC:26918,SMAGP,57228,ENSG00000170545,Q0VAQ4,NM_020467,SMAGP,121462
8026,26397,HGNC:15391,OR2Z1,284383,ENSG00000181733,Q8NG97,NM_001004699,OR2Z1,129854
8027,91945,HGNC:13387,NEK8,284086,ENSG00000160602,Q86SG6,NM_178170,NEK8,129755
8028,59180,HGNC:9566,PSMD8,5714,ENSG00000099341,P48556,NM_002812,PSMD8,111686
8029,91952,HGNC:12270,TREX2,11219,ENSG00000183479,Q9BQ50,NM_080701,TREX2,116388
8030,59186,HGNC:9987,RFXANK,8625,ENSG00000064490,O14593,NM_003721,RFXANK,114180
8031,91960,HGNC:11451,RIOK3,8780,ENSG00000101782,O14730,NM_003831,RIOK3,114309
8032,91963,HGNC:21181,SUMO4,387082,ENSG00000177688,Q6EEV6,NM_001002255,SUMO4,132223
8033,59199,HGNC:14881,ZEB2,9839,ENSG00000169554,O60315,NM_014795,ZEB2,115175
8034,26433,HGNC:11275,SPTBN1,6711,ENSG00000115306,Q01082,NM_003128,SPTBN1,112589
8035,26438,HGNC:6950,MCM7,4176,ENSG00000166508,P33993,NM_001278595,MCM7,110344
8036,26442,HGNC:9726,PYGM,5837,ENSG00000068976,P11217,NM_005609,PYGM,111795
8037,91978,HGNC:24368,HERC5,51191,ENSG00000138646,Q9UII4,NM_016323,HERC5,119365
8038,91980,HGNC:4803,HADHB,3032,ENSG00000138029,P55084,NM_000183,HADHB,109282
8039,91984,HGNC:1037,CFB,629,ENSG00000243649,P00751,NM_001710,CFB,107098
8040,59217,HGNC:6772,SMAD6,4091,ENSG00000137834,O43541,NM_005585,SMAD6,110266
